"","clusterID","思想sāi_xiǎnɡ","思维sāi_wéi","想法xiǎnɡ_fǎ","构想ɡòu_xiǎnɡ","理念lǐ_niàn","看法kān_fǎ","观点ɡuān_diǎn","观念ɡuān_niàn","主意zhǔ_yī","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,1,1,6,7,12,75,8,0,0,61,20,29,1.1129,0.9884,110
"2",2,9,8,6,3,6,4,1,8,0,12,9,24,1.9536,1.0096,45
"3",3,0,0,0,0,1,9,1,0,0,7,0,4,0.6002,0.6555,11
"4",4,15,0,0,0,0,0,0,0,0,0,10,5,0,0.6365,15
"5",5,1,8,27,0,3,24,30,20,10,30,31,62,1.8027,1.0368,123
"6",6,46,0,0,0,0,0,0,0,0,0,45,1,0,0.1047,46
"7",7,78,9,1,7,24,0,7,24,0,38,81,31,1.4147,1.0064,150
