"","clusterID","评价pín_jià","判断pàn_duàn","裁判cái_pàn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,50,0,0,2,43,5,1,0.7512,50
"2",2,0,1,112,14,50,49,0.9825,0.3992,113
"3",3,142,145,50,75,152,110,0.3847,0.3595,337
