"","clusterID","仪式yí_shì","典礼diǎn_lǐ","祭典jì_diǎn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,7,61,0,52,7,9,0.3315,0.7068,68
"2",2,40,7,0,15,1,31,0.4209,0.7209,47
"3",3,84,4,1,30,27,32,0.2444,1.0962,89
"4",4,128,94,1,105,91,27,0.707,0.976,223
"5",5,15,0,0,0,13,2,0,0.3927,15
"6",6,54,4,0,14,32,12,0.251,0.9972,58
