"","clusterID","数字shǔ_zì","数目shǔ_mù","数量shǔ_liánɡ","数额shǔ_é","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,75,1,0,0,17,29,30,0.974,0.3515,76
"2",2,24,42,60,29,37,60,58,0.2822,0.3468,155
"3",3,134,28,83,24,54,145,70,0.3621,0.3986,269
