"","clusterID","思想sāi_xiǎnɡ","想法xiǎnɡ_fǎ","概念ɡài_niàn","构思ɡòu_sāi","构想ɡòu_xiǎnɡ","理念lǐ_niàn","观念ɡuān_niàn","ML","SG","TW","variant_I","lect_I","TotalFreq"
"1",1,8,1,21,0,0,0,0,10,20,0,0.562222222222222,0.555555555555556,30
"2",2,6,23,12,4,3,1,2,5,34,12,0.284121491733949,0.509419454056132,51
"3",3,29,2,10,0,1,24,18,31,29,24,0.261621315192744,0.337018140589569,84
"4",4,1,10,8,2,24,14,0,8,7,44,0.270324619362252,0.588623958632577,59
"5",5,7,3,1,3,4,4,9,8,15,8,0.18834547346514,0.36732570239334,31
"6",6,14,10,4,1,7,6,26,20,29,19,0.232266435986159,0.346453287197232,68
"7",7,77,0,1,0,0,0,0,76,1,1,0.974687705456936,0.949704142011834,78
"8",8,22,0,0,0,0,2,0,18,4,2,0.847222222222222,0.597222222222222,24
"9",9,0,0,0,0,0,0,6,5,1,0,1,0.722222222222222,6
"10",10,52,1,0,2,0,0,14,63,4,2,0.61016593152699,0.837849191346356,69
