"","clusterID","实验shí_yàn","尝试chánɡ_shì","试验shì_yàn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,119,3,48,48,94,28,0.57,0.4126,170
"2",2,27,2,74,17,70,16,0.5853,0.5132,103
"3",3,49,141,37,60,59,108,0.459,0.3638,227
