"","clusterID","教授jiāo_shòu","教育jiāo_yō","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,3,135,71,4,63,0.1047,0.8025,138
"2",2,0,41,20,0,21,0,0.6928,41
"3",3,0,9,3,0,6,0,0.6365,9
"4",4,4,81,25,2,58,0.1898,0.709,85
"5",5,45,8,32,0,21,0.4243,0.6715,53
"6",6,51,2,17,22,14,0.1607,1.0813,53
"7",7,62,9,22,18,31,0.3802,1.0728,71
"8",8,42,8,3,14,33,0.4397,0.7995,50
