"","clusterID","宣传xuān_chuán","广告ān_ɡào","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,162,14,18,125,33,0.2777,0.7901,176
"2",2,124,149,87,61,125,0.6889,1.057,273
"3",3,7,21,12,5,11,0.5623,1.0378,28
"4",4,0,23,9,1,13,0,0.826,23
