"","clusterID","夜晚yè_wǎn","夜间yè_jiān","晚上wǎn_shǎnɡ","晚间wǎn_jiān","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,3,1,89,110,164,10,29,0.782,0.5986,203
"2",2,0,0,86,0,0,4,82,0,0.1881,86
"3",3,19,41,139,12,38,63,110,0.9731,1.0092,211
