"","clusterID","单位chán_lì","机构jī_ɡòu","机关jī_ɡuān","部门bù_mén","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,14,2,0,0,8,2,6,0.7812,0.4062,16
"2",2,70,74,54,109,72,203,32,0.2671,0.5031,307
"3",3,0,23,0,0,14,9,0,1,0.5236,23
"4",4,58,62,15,19,46,62,46,0.3286,0.3405,154
