"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"SumAbsDev"	"LargestDev"
"新"	3	31	4	1	1	12	6.957	8.338	6.446	7.673	1.944	20.641	-1.157	11.896	-0.675	-2.606	-0.38	-2.053	18.767	"2"
"新书"	0	1	0	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	0.795	-0.057	-0.069	-0.017	-0.22	1.22	"2"
"新加坡人"	0	0	0	0	0	2	0.268	0.321	0.248	0.295	0.075	0.794	-0.125	-0.152	-0.115	-0.139	-0.033	0.803	1.367	"6"
"新生儿"	0	0	0	1	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	0.831	-0.017	-0.22	1.263	"4"
"新知"	1	0	0	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	0.874	-0.076	-0.057	-0.069	-0.017	-0.22	1.313	"1"
"新篇"	0	0	0	1	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	0.831	-0.017	-0.22	1.263	"4"
"新莽"	0	0	1	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	0.907	-0.069	-0.017	-0.22	1.351	"3"
"方针"	0	2	0	0	0	0	0.268	0.321	0.248	0.295	0.075	0.794	-0.125	1.59	-0.115	-0.139	-0.033	-0.439	2.441	"2"
"旅行团"	0	0	0	0	0	1	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	-0.069	-0.017	0.401	0.682	"6"
"无可"	1	0	0	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	0.874	-0.076	-0.057	-0.069	-0.017	-0.22	1.313	"1"
"日军"	0	0	0	1	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	0.831	-0.017	-0.22	1.263	"4"
"日据"	0	0	2	0	0	1	0.401	0.481	0.372	0.443	0.112	1.191	-0.187	-0.228	1.374	-0.208	-0.05	-0.185	2.232	"3"
"日本兵"	0	0	0	0	0	1	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	-0.069	-0.017	0.401	0.682	"6"
"日本制"	0	0	0	0	0	1	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	-0.069	-0.017	0.401	0.682	"6"
"日治"	0	0	1	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	0.907	-0.069	-0.017	-0.22	1.351	"3"
"旧"	0	0	5	0	0	3	1.07	1.283	0.992	1.181	0.299	3.176	-0.499	-0.607	2.927	-0.555	-0.132	-0.221	4.941	"3"
"旧石器"	0	0	1	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	0.907	-0.069	-0.017	-0.22	1.351	"3"
"早"	0	0	1	0	0	1	0.268	0.321	0.248	0.295	0.075	0.794	-0.125	-0.152	0.633	-0.139	-0.033	0.196	1.278	"3"
"早已"	0	0	0	0	0	1	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	-0.069	-0.017	0.401	0.682	"6"
"早期"	0	0	2	0	0	0	0.268	0.321	0.248	0.295	0.075	0.794	-0.125	-0.152	1.813	-0.139	-0.033	-0.439	2.701	"3"
"时"	0	0	0	0	0	1	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	-0.069	-0.017	0.401	0.682	"6"
"时代"	0	0	4	0	0	6	1.338	1.604	1.24	1.476	0.374	3.97	-0.624	-0.759	1.573	-0.693	-0.165	0.793	4.607	"3"
"时尚"	0	1	0	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	0.795	-0.057	-0.069	-0.017	-0.22	1.22	"2"
"时期"	0	0	2	0	1	4	0.937	1.122	0.868	1.033	0.262	2.779	-0.437	-0.531	0.674	-0.485	0.631	0.547	3.305	"3"
"明"	0	0	1	1	0	0	0.268	0.321	0.248	0.295	0.075	0.794	-0.125	-0.152	0.633	0.563	-0.033	-0.439	1.945	"3"
"明清"	0	0	1	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	0.907	-0.069	-0.017	-0.22	1.351	"3"
"昔日"	0	0	0	0	0	1	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	-0.069	-0.017	0.401	0.682	"6"
"春秋"	0	0	1	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	0.907	-0.069	-0.017	-0.22	1.351	"3"
"晚期"	0	0	1	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	0.907	-0.069	-0.017	-0.22	1.351	"3"
"晚清"	0	0	0	1	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	0.831	-0.017	-0.22	1.263	"4"
"景"	0	0	0	0	0	1	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	-0.069	-0.017	0.401	0.682	"6"
"暨"	0	0	0	2	0	2	0.535	0.641	0.496	0.59	0.15	1.588	-0.25	-0.304	-0.23	0.973	-0.066	0.284	2.107	"4"
"曼哈顿"	0	0	0	0	1	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	-0.069	1.427	-0.22	1.911	"5"
"曾"	0	0	1	0	0	5	0.803	0.962	0.744	0.885	0.224	2.382	-0.374	-0.455	0.261	-0.416	-0.099	1.403	3.008	"6"
"曾经"	0	0	0	0	0	1	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	-0.069	-0.017	0.401	0.682	"6"
"最"	0	4	0	2	0	8	1.873	2.245	1.735	2.066	0.523	5.557	-0.873	0.756	-0.805	-0.182	-0.232	0.84	3.688	"1"
"最为"	0	1	0	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	0.795	-0.057	-0.069	-0.017	-0.22	1.22	"2"
"最佳"	0	0	0	0	0	1	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	-0.069	-0.017	0.401	0.682	"6"
"最好"	0	0	0	0	0	3	0.401	0.481	0.372	0.443	0.112	1.191	-0.187	-0.228	-0.172	-0.208	-0.05	1.204	2.049	"6"
"最早"	0	0	1	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	0.907	-0.069	-0.017	-0.22	1.351	"3"
"最近"	0	0	0	0	0	1	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	-0.069	-0.017	0.401	0.682	"6"
"最高峰"	0	0	0	0	0	1	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	-0.069	-0.017	0.401	0.682	"6"
"月子"	0	0	0	0	0	1	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	-0.069	-0.017	0.401	0.682	"6"
"有罪"	0	0	0	1	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	0.831	-0.017	-0.22	1.263	"4"
"有色"	0	0	0	0	0	1	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	-0.069	-0.017	0.401	0.682	"6"
"服务工"	0	1	0	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	0.795	-0.057	-0.069	-0.017	-0.22	1.22	"2"
"期"	0	0	1	0	1	0	0.268	0.321	0.248	0.295	0.075	0.794	-0.125	-0.152	0.633	-0.139	1.134	-0.439	2.622	"5"
"末"	0	0	1	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	0.907	-0.069	-0.017	-0.22	1.351	"3"
"杂志"	0	0	0	0	4	0	0.535	0.641	0.496	0.59	0.15	1.588	-0.25	-0.304	-0.23	-0.277	5.709	-0.879	7.649	"5"
"李小龙"	0	0	0	0	0	2	0.268	0.321	0.248	0.295	0.075	0.794	-0.125	-0.152	-0.115	-0.139	-0.033	0.803	1.367	"6"
"李玟"	0	0	0	0	1	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	-0.069	1.427	-0.22	1.911	"5"
