"","clusterID","典礼diǎn_lǐ","庆典qìng_diǎn","聚会jù_huì","集会jí_huì","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,52,0,0,0,35,7,10,1,0.5081,52
"2",2,178,21,7,27,157,39,37,0.6061,0.5073,233
"3",3,0,25,0,0,2,0,23,1,0.8528,25
"4",4,17,39,25,19,29,27,44,0.2796,0.3506,100
"5",5,0,0,12,78,50,25,15,0.7689,0.4136,90
