"","clusterID","宣传xuān_chuán","广告ān_ɡào","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,133,6,13,108,18,0.917395579938927,0.629211738522851,139
"2",2,18,0,2,10,6,1,0.432098765432099,18
"3",3,11,8,3,7,9,0.512465373961219,0.385041551246537,19
"4",4,71,98,42,50,77,0.512762158187738,0.356885263121039,169
"5",5,32,0,20,1,11,1,0.509765625,32
"6",6,21,51,25,10,37,0.586805555555556,0.403935185185185,72
"7",7,7,21,12,5,11,0.625,0.369897959183673,28
"8",8,0,23,9,1,13,1,0.474480151228733,23
