"","clusterID","老师lǎo_shī","教师jiāo_shī","TW","SG","ML","variant_entropy","lect_entropy","TotalFreq"
"1",1,36,0,6,30,0,0,0.4506,36
"2",2,72,6,11,57,10,0.2712,0.7688,78
"3",3,5,4,0,9,0,0.687,0,9
"4",4,17,23,8,25,7,0.6819,0.9207,40
"5",5,29,22,14,25,12,0.6837,1.0448,51
"6",6,12,17,6,15,8,0.6782,1.0222,29
"7",7,3,28,16,12,3,0.3179,0.9348,31
"8",8,29,21,4,35,11,0.6803,0.7848,50
"9",9,5,62,19,36,12,0.2654,0.9992,67
"10",10,17,92,40,28,41,0.4329,1.0848,109
