"","clusterID","买卖mǎi_mài","交易jiāo_yì","生意shēnɡ_yī","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,8,9,99,14,14,88,0.739149821640904,0.604637336504162,116
"2",2,0,20,0,8,9,3,1,0.385,20
"3",3,3,19,8,5,8,17,0.482222222222222,0.42,30
"4",4,7,27,5,15,14,10,0.527942143326759,0.342537804076266,39
"5",5,0,35,0,20,6,9,1,0.422040816326531,35
"6",6,2,47,0,16,15,18,0.921699291961683,0.335276967930029,49
"7",7,4,67,2,22,42,9,0.846124976543442,0.437042597110152,73
"8",8,12,5,0,12,3,2,0.58477508650519,0.543252595155709,17
"9",9,6,23,0,13,4,12,0.671819262782402,0.391200951248514,29
"10",10,9,82,1,40,33,19,0.804111531190926,0.360349716446125,92
