"","clusterID","客户kè_hù","消费者xiāo_fèi_zhě","顾客ɡù_kè","用户yòng_hù","委托人wēi_tuō_rén","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,2,6,74,0,0,7,13,62,0.3746,0.7135,82
"2",2,44,1,2,4,0,12,14,25,0.5311,1.0448,51
"3",3,31,10,6,48,1,23,31,42,1.168,1.069,96
"4",4,0,24,1,0,0,14,7,4,0.1679,0.9743,25
"5",5,0,23,0,0,0,11,9,3,0,0.9856,23
"6",6,18,37,5,15,0,26,21,28,1.1935,1.0915,75
"7",7,29,80,30,9,0,48,45,55,1.1457,1.095,148
