"","clusterID","领导lǐnɡ_dǎo","领导人lǐnɡ_dǎo_rén","领袖lǐnɡ_xiù","头目tóu_mù","首脑shǒu_nǎo","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,14,0,0,0,0,1,11,2,1,0.642857142857143,14
"2",2,73,0,0,0,0,1,60,12,1,0.70275849127416,73
"3",3,13,0,0,0,0,3,4,6,1,0.36094674556213,13
"4",4,6,22,40,0,0,30,14,24,0.458477508650519,0.36159169550173,68
"5",5,76,44,35,1,2,38,60,60,0.358195801954815,0.346258612401859,158
"6",6,6,26,21,5,8,13,30,23,0.285123966942149,0.366850321395776,66
"7",7,0,8,12,0,25,10,33,2,0.411358024691358,0.589135802469136,45
"8",8,1,40,9,0,13,13,37,13,0.466364323507181,0.430083144368859,63
