"","clusterID","股票ɡǔ_piāo","证券zhènɡ_quàn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,51,41,51,10,31,0.6872,0.9348,92
"2",2,16,0,0,3,13,0,0.4826,16
"3",3,37,0,5,25,7,0,0.8504,37
"4",4,12,29,12,13,16,0.6045,1.091,41
"5",5,124,55,66,42,71,0.6169,1.0748,179
"6",6,13,31,19,17,8,0.607,1.04,44
"7",7,19,72,64,17,10,0.5124,0.8036,91
