"","clusterID","损失sǔn_shī","损害sǔn_hài","危害wēi_hài","伤害shānɡ_hài","损伤sǔn_shānɡ","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,17,1,0,0,0,6,4,8,0.8951,0.358,18
"2",2,109,7,2,0,0,41,47,30,0.8571,0.344,118
"3",3,49,33,65,65,20,67,107,58,0.2293,0.3586,232
"4",4,59,21,11,36,5,47,61,24,0.3079,0.3734,132
