"","clusterID","争端zhēnɡ_duān","冲突chōnɡ_tū","争执zhēnɡ_zhí","纠纷jiū_fēn","风波fēnɡ_bēi","矛盾máo_dùn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,1,143,0,0,0,0,33,95,16,0.9862,0.5001,144
"2",2,0,34,7,4,4,0,12,16,21,0.5152,0.3503,49
"3",3,34,88,19,63,50,53,101,115,91,0.1967,0.3364,307
