"","clusterID","仪器yí_qì","装置zhuānɡ_zhì","设备shè_bèi","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,6,8,78,22,49,21,0.73062381852552,0.392958412098299,92
"2",2,0,0,18,2,11,5,1,0.462962962962963,18
"3",3,2,0,43,16,17,12,0.915061728395062,0.340246913580247,45
"4",4,0,6,62,16,50,2,0.839100346020761,0.596885813148789,68
"5",5,0,0,9,2,0,7,1,0.654320987654321,9
"6",6,0,9,0,0,9,0,1,1,9
"7",7,12,19,39,26,20,24,0.413469387755102,0.337142857142857,70
"8",8,36,46,107,59,91,39,0.416029786400157,0.371854091430811,189
