"","clusterID","时代shí_dài","时期shí_jī","纪元jǐ_yuán","年代nián_dài","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,25,21,5,0,8,31,12,0.9425,0.9336,51
"2",2,92,27,0,0,26,56,37,0.5355,1.0503,119
"3",3,12,14,0,5,3,21,7,1.0207,0.8259,31
"4",4,0,11,0,0,0,7,4,0,0.6555,11
"5",5,21,0,0,0,7,6,8,0,1.0918,21
"6",6,62,58,0,2,47,33,42,0.7649,1.0883,122
"7",7,40,73,1,31,26,51,68,1.0649,1.0308,145
