"","clusterID","个性ɡàn_xìng","品质pǐn_zhì","特征tè_zhēnɡ","特性tè_xìng","特点tè_diǎn","特色tè_sè","特质tè_zhì","风格fēnɡ_ɡē","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,19,7,5,1,13,40,3,24,30,15,67,1.6999,0.9295,112
"2",2,4,0,2,1,8,34,0,28,17,31,29,1.2689,1.0676,77
"3",3,0,0,1,1,0,8,0,1,4,6,1,0.8856,0.9165,11
"4",4,0,0,4,1,6,14,0,1,7,15,4,1.2103,0.9586,26
"5",5,5,25,30,19,63,23,4,9,48,83,47,1.7832,1.0608,178
"6",6,0,0,0,0,0,14,0,0,0,14,0,0,0,14
"7",7,0,60,0,1,4,17,0,0,49,25,8,0.7559,0.8969,82
