"","clusterID","教授jiāo_shòu","教育jiāo_yō","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,7,266,119,6,148,0.95,0.4844,273
"2",2,96,10,49,22,35,0.8291,0.3658,106
"3",3,104,17,25,32,64,0.7585,0.3924,121
