"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"〉"	0	1	0	0	0.109	0.625	0.141	0.125	-0.05	0.204	-0.066	-0.058	0.378	"2"
"《"	0	30	0	1	3.371	19.379	4.376	3.874	-1.55	5.033	-2.049	-1.063	9.695	"2"
"》"	0	29	0	1	3.262	18.754	4.235	3.749	-1.5	4.842	-1.983	-1.016	9.341	"2"
"「"	0	39	9	4	5.654	32.507	7.341	6.498	-2.6	1.395	0.51	-0.687	5.192	"1"
"」"	0	40	10	6	6.089	35.008	7.906	6.997	-2.8	0.974	0.584	-0.356	4.714	"1"
"◆"	0	2	0	0	0.217	1.25	0.282	0.25	-0.1	0.408	-0.132	-0.116	0.756	"2"
"100.3"	0	1	0	0	0.109	0.625	0.141	0.125	-0.05	0.204	-0.066	-0.058	0.378	"2"
"10点"	0	1	0	0	0.109	0.625	0.141	0.125	-0.05	0.204	-0.066	-0.058	0.378	"2"
"125"	0	1	0	0	0.109	0.625	0.141	0.125	-0.05	0.204	-0.066	-0.058	0.378	"2"
"1354"	0	0	2	0	0.217	1.25	0.282	0.25	-0.1	-0.852	1.701	-0.116	2.769	"3"
"15分"	0	1	0	0	0.109	0.625	0.141	0.125	-0.05	0.204	-0.066	-0.058	0.378	"2"
"17日电"	0	0	0	1	0.109	0.625	0.141	0.125	-0.05	-0.426	-0.066	0.903	1.445	"4"
"20日"	0	1	0	0	0.109	0.625	0.141	0.125	-0.05	0.204	-0.066	-0.058	0.378	"2"
"60"	0	1	0	1	0.217	1.25	0.282	0.25	-0.1	-0.215	-0.132	0.63	1.077	"4"
"608"	0	0	1	0	0.109	0.625	0.141	0.125	-0.05	-0.426	0.85	-0.058	1.384	"3"
"69"	0	0	2	0	0.217	1.25	0.282	0.25	-0.1	-0.852	1.701	-0.116	2.769	"3"
"6日"	1	0	0	1	0.217	1.25	0.282	0.25	0.687	-0.852	-0.132	0.63	2.301	"2"
"7时"	0	1	0	0	0.109	0.625	0.141	0.125	-0.05	0.204	-0.066	-0.058	0.378	"2"
