"","clusterID","思想sāi_xiǎnɡ","想法xiǎnɡ_fǎ","构思ɡòu_sāi","构想ɡòu_xiǎnɡ","概念ɡài_niàn","理念lǐ_niàn","观念ɡuān_niàn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,65,49,10,39,56,49,55,107,82,134,1.8629,1.079,323
"2",2,77,0,0,0,1,0,0,1,76,1,0.0686,0.137,78
"3",3,74,1,2,0,0,2,20,4,86,9,0.7447,0.4699,99
