"","clusterID","公务员ɡōnɡ_wù_yuán","官员ɡuān_yuán","职员zhí_yuán","公务人员ɡōnɡ_wù_rén_yuán","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,3,24,45,0,14,8,50,0.7924,0.8158,72
"2",2,42,65,13,15,80,25,30,1.1847,0.9566,135
"3",3,0,21,0,0,5,9,7,0,1.071,21
"4",4,0,102,2,0,46,38,20,0.095,1.0457,104
"5",5,2,23,0,0,7,14,4,0.2788,0.9743,25
"6",6,0,55,0,0,13,25,17,0,1.0622,55
"7",7,0,88,0,0,45,32,11,0,0.9707,88
