"","clusterID","作用zuō_yòng","功效ɡōnɡ_xiào","功能ɡōnɡ_nái","机能jī_nái","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,75,1,6,0,8,65,9,0.8421,0.6499,82
"2",2,14,1,6,0,7,11,3,0.5283,0.4059,21
"3",3,38,1,0,0,1,32,6,0.95,0.6976,39
"4",4,31,0,0,0,0,30,1,1,0.9376,31
"5",5,23,0,0,0,0,11,12,1,0.5009,23
"6",6,135,11,151,7,71,145,88,0.4458,0.3658,304
