"","clusterID","铁路tiě_lù","轨道ɡuǐ_dǎo","铁轨tiě_ɡuǐ","铁道tiě_dǎo","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,34,0,0,0,13,11,10,0,1.0926,34
"2",2,61,1,1,1,14,46,4,0.2407,0.7431,64
"3",3,142,27,5,3,46,113,18,0.6334,0.8691,177
"4",4,0,45,0,0,9,31,5,0,0.8228,45
"5",5,54,2,0,3,6,51,2,0.3472,0.4731,59
"6",6,55,19,9,15,40,32,26,1.1488,1.0832,98
"7",7,0,23,0,0,1,21,1,0,0.3557,23
