"","clusterID","领导lǐnɡ_dǎo","头目tóu_mù","领导人lǐnɡ_dǎo_rén","领袖lǐnɡ_xiù","首脑shǒu_nǎo","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,87,0,0,0,0,2,71,14,0,0.5466,87
"2",2,95,1,66,75,2,71,78,90,1.1487,1.0938,239
"3",3,7,5,74,42,46,36,100,38,1.2897,0.9766,174
