"Coll_Word"	"1"	"2"	"3"	"exp_1"	"exp_2"	"exp_3"	"pbin_1"	"pbin_2"	"pbin_3"	"SumAbsDev"	"LargestDev"
"－－"	1	0	0	0.602	0.097	0.301	0.22	-0.044	-0.155	0.419	"1"
"："	2	8	17	16.261	2.623	8.116	-7.883	2.49	3.388	13.761	"1"
"！"	0	3	1	2.409	0.389	1.202	-1.602	2.468	-0.187	4.257	"2"
"？"	1	3	11	9.034	1.457	4.509	-4.631	0.761	3.164	8.556	"1"
"]"	0	0	1	0.602	0.097	0.301	-0.4	-0.044	0.522	0.966	"3"
"《"	0	28	8	21.682	3.497	10.821	-14.415	21.213	-0.696	36.324	"2"
"》"	1	29	7	22.284	3.595	11.122	-13.059	22.12	-1.029	36.208	"2"
"＋"	2	0	0	1.205	0.194	0.601	0.44	-0.089	-0.311	0.84	"1"
"◆"	1	0	0	0.602	0.097	0.301	0.22	-0.044	-0.155	0.419	"1"
"006"	0	0	2	1.205	0.194	0.601	-0.801	-0.089	1.044	1.934	"3"
"10万"	1	0	0	0.602	0.097	0.301	0.22	-0.044	-0.155	0.419	"1"
"10日"	0	1	0	0.602	0.097	0.301	-0.4	1.013	-0.155	1.568	"2"
"111"	1	0	0	0.602	0.097	0.301	0.22	-0.044	-0.155	0.419	"1"
"1200"	1	0	0	0.602	0.097	0.301	0.22	-0.044	-0.155	0.419	"1"
"13日"	0	1	1	1.205	0.194	0.601	-0.801	0.733	0.292	1.826	"1"
"14日"	0	1	0	0.602	0.097	0.301	-0.4	1.013	-0.155	1.568	"2"
"1700"	1	0	0	0.602	0.097	0.301	0.22	-0.044	-0.155	0.419	"1"
"17日"	1	0	0	0.602	0.097	0.301	0.22	-0.044	-0.155	0.419	"1"
"1800"	0	0	4	2.409	0.389	1.202	-1.602	-0.178	2.088	3.868	"3"
"185万"	1	0	0	0.602	0.097	0.301	0.22	-0.044	-0.155	0.419	"1"
"18日"	0	2	0	1.205	0.194	0.601	-0.801	2.025	-0.311	3.137	"2"
"1万"	1	0	0	0.602	0.097	0.301	0.22	-0.044	-0.155	0.419	"1"
"1万4000"	1	0	0	0.602	0.097	0.301	0.22	-0.044	-0.155	0.419	"1"
"1万多"	1	0	0	0.602	0.097	0.301	0.22	-0.044	-0.155	0.419	"1"
