"","clusterID","亲人qīn_rén","亲属qīn_shǔ","家属ɡū_shǔ","亲戚qīn_cù","家人ɡū_rén","家族ɡū_còu","氏族jīnɡ_còu","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,6,4,76,0,0,0,0,34,19,33,0.788,0.3524,86
"2",2,4,15,45,6,30,50,1,56,36,59,0.2501,0.347,151
"3",3,0,0,12,0,8,0,0,6,2,12,0.52,0.46,20
"4",4,31,8,36,21,141,6,0,53,55,135,0.3841,0.4074,243
