"","clusterID","公安ɡōnɡ_ān","员警yuán_jǐnɡ","警员jǐnɡ_yuán","警察jǐnɡ_chá","警方jǐnɡ_fānɡ","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,7,8,14,29,277,128,58,149,0.694,0.3738,335
"2",2,46,6,5,66,42,55,62,48,0.3048,0.3369,165
