"","clusterID","团体qiú_bèn","机构jī_ɡòu","组织zǔ_zhī","集团jí_qiú","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,4,4,15,41,20,22,22,0.47314453125,0.333984375,64
"2",2,22,9,1,0,9,12,11,0.552734375,0.337890625,32
"3",3,0,17,0,0,10,3,4,1,0.432525951557093,17
"4",4,0,17,1,69,18,32,37,0.667327255912274,0.358964196062888,87
"5",5,0,0,36,0,13,18,5,1,0.399691358024691,36
"6",6,0,6,23,0,6,21,2,0.671819262782402,0.571938168846611,29
"7",7,7,49,23,0,20,49,10,0.477327351385996,0.464829354270149,79
"8",8,0,3,18,12,7,14,12,0.43801652892562,0.357208448117539,33
"9",9,0,11,13,0,3,19,2,0.503472222222222,0.649305555555555,24
"10",10,21,12,62,4,31,49,19,0.453525150494847,0.379859198041016,99
