"","clusterID","过程ɡuō_chénɡ","手续shǒu_xù","程序chénɡ_xù","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,136,0,0,37,65,34,0,1.0536,136
"2",2,18,0,0,5,4,9,0,1.0366,18
"3",3,107,5,17,39,41,49,0.5481,1.0937,129
"4",4,0,17,5,7,7,8,0.536,1.0966,22
"5",5,12,26,81,46,34,39,0.8255,1.0909,119
"6",6,22,0,54,49,12,15,0.6017,0.8947,76
