"","clusterID","地位de_lì","职位zhí_lì","职务zhí_wù","身份juān_bīn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,67,19,23,78,51,58,78,1.2226,1.0822,187
"2",2,114,2,0,3,29,60,30,0.2026,1.0367,119
"3",3,1,1,1,74,49,7,21,0.2074,0.86,77
"4",4,8,24,79,6,55,35,27,0.9259,1.0542,117
