"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"SumAbsDev"	"LargestDev"
"--"	0	2	0	0	0	0	5	0	0.45	1.071	0.289	1.133	0.921	1.448	1.278	0.411	-0.202	0.535	-0.128	-0.537	-0.429	-0.704	2.514	-0.184	5.233	"7"
"﹐"	0	0	0	0	5	0	0	0	0.322	0.765	0.206	0.809	0.658	1.034	0.913	0.293	-0.144	-0.361	-0.092	-0.383	4.405	-0.503	-0.438	-0.131	6.457	"5"
":"	0	31	0	12	0	2	1	2	3.089	7.343	1.981	7.77	6.313	9.926	8.761	2.817	-1.386	13.831	-0.879	1.112	-2.94	-2.874	-3.132	-0.338	26.492	"2"
"("	30	42	0	4	1	0	3	0	5.148	12.238	3.302	12.95	10.522	16.544	14.601	4.694	15.19	13.923	-1.465	-2.669	-3.782	-8.049	-3.964	-2.101	51.143	"1"
")"	29	41	0	4	1	0	1	0	4.89	11.626	3.137	12.303	9.996	15.717	13.871	4.46	14.945	14.147	-1.391	-2.446	-3.557	-7.647	-5.397	-1.996	51.526	"1"
"《"	0	2	0	16	0	0	1	0	1.223	2.907	0.784	3.076	2.499	3.929	3.468	1.115	-0.549	-0.37	-0.348	9.882	-1.164	-1.912	-0.943	-0.499	15.667	"4"
"》"	0	1	0	15	0	1	0	0	1.094	2.601	0.702	2.752	2.236	3.516	3.103	0.998	-0.491	-0.616	-0.311	9.872	-1.041	-0.976	-1.488	-0.446	15.241	"4"
"」"	0	0	1	0	6	5	0	0	0.772	1.836	0.495	1.943	1.578	2.482	2.19	0.704	-0.347	-0.865	0.401	-0.92	2.63	1.087	-1.05	-0.315	7.615	"5"
"』"	0	0	0	0	0	1	0	0	0.064	0.153	0.041	0.162	0.132	0.207	0.183	0.059	-0.029	-0.072	-0.018	-0.077	-0.061	0.684	-0.088	-0.026	1.055	"6"
"10日"	0	1	0	0	0	0	1	0	0.129	0.306	0.083	0.324	0.263	0.414	0.365	0.117	-0.058	0.549	-0.037	-0.153	-0.122	-0.201	0.479	-0.053	1.652	"2"
"13日"	0	1	0	0	0	0	0	0	0.064	0.153	0.041	0.162	0.132	0.207	0.183	0.059	-0.029	0.815	-0.018	-0.077	-0.061	-0.101	-0.088	-0.026	1.215	"2"
