"","clusterID","公路ɡōnɡ_lù","道路dǎo_lù","街路jiē_lù","街道jiē_dǎo","路径lù_jìnɡ","路线lù_xiàn","马路mǎ_lù","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,81,1,0,0,0,0,0,5,61,16,0.0659,0.7095,82
"2",2,124,78,1,40,2,39,23,75,142,90,1.4875,1.0607,307
"3",3,15,50,0,2,2,41,1,30,49,32,1.1847,1.0731,111
