"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"SumAbsDev"	"LargestDev"
"＋"	0	0	0	0	0	0	2	0	0.253	0.2	0.062	0.115	0.545	0.065	0.119	0.641	-0.117	-0.092	-0.027	-0.051	-0.276	-0.029	2.453	-0.336	3.381	"7"
"04"	0	0	0	0	0	0	1	0	0.126	0.1	0.031	0.058	0.273	0.032	0.059	0.321	-0.059	-0.046	-0.014	-0.026	-0.138	-0.014	1.227	-0.168	1.692	"7"
"3.2"	0	0	0	0	0	0	0	1	0.126	0.1	0.031	0.058	0.273	0.032	0.059	0.321	-0.059	-0.046	-0.014	-0.026	-0.138	-0.014	-0.027	0.494	0.818	"8"
"6.39"	0	0	0	0	1	0	0	0	0.126	0.1	0.031	0.058	0.273	0.032	0.059	0.321	-0.059	-0.046	-0.014	-0.026	0.564	-0.014	-0.027	-0.168	0.918	"5"
"891011"	0	0	0	0	1	0	0	0	0.126	0.1	0.031	0.058	0.273	0.032	0.059	0.321	-0.059	-0.046	-0.014	-0.026	0.564	-0.014	-0.027	-0.168	0.918	"5"
"891108"	0	0	0	0	0	0	0	1	0.126	0.1	0.031	0.058	0.273	0.032	0.059	0.321	-0.059	-0.046	-0.014	-0.026	-0.138	-0.014	-0.027	0.494	0.818	"8"
"891118"	0	0	0	0	1	0	0	0	0.126	0.1	0.031	0.058	0.273	0.032	0.059	0.321	-0.059	-0.046	-0.014	-0.026	0.564	-0.014	-0.027	-0.168	0.918	"5"
"900128"	0	0	0	0	0	0	1	0	0.126	0.1	0.031	0.058	0.273	0.032	0.059	0.321	-0.059	-0.046	-0.014	-0.026	-0.138	-0.014	1.227	-0.168	1.692	"7"
"EKG"	0	0	0	0	1	0	0	0	0.126	0.1	0.031	0.058	0.273	0.032	0.059	0.321	-0.059	-0.046	-0.014	-0.026	0.564	-0.014	-0.027	-0.168	0.918	"5"
"NAATO"	0	0	0	0	0	0	0	1	0.126	0.1	0.031	0.058	0.273	0.032	0.059	0.321	-0.059	-0.046	-0.014	-0.026	-0.138	-0.014	-0.027	0.494	0.818	"8"
"NBA"	0	1	0	0	0	0	0	0	0.126	0.1	0.031	0.058	0.273	0.032	0.059	0.321	-0.059	1	-0.014	-0.026	-0.138	-0.014	-0.027	-0.168	1.446	"2"
"on"	0	0	0	0	1	0	0	0	0.126	0.1	0.031	0.058	0.273	0.032	0.059	0.321	-0.059	-0.046	-0.014	-0.026	0.564	-0.014	-0.027	-0.168	0.918	"5"
"PDE4D"	0	0	0	0	0	0	0	1	0.126	0.1	0.031	0.058	0.273	0.032	0.059	0.321	-0.059	-0.046	-0.014	-0.026	-0.138	-0.014	-0.027	0.494	0.818	"8"
