"","clusterID","运动员yǔn_dònɡ_yuán","选手xuǎn_shǒu","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,65,48,24,74,15,0.6818,0.8743,113
"2",2,1,75,4,65,7,0.0701,0.5083,76
"3",3,12,126,32,90,16,0.2954,0.8675,138
"4",4,15,28,9,27,7,0.6467,0.9151,43
"5",5,5,38,4,28,11,0.3594,0.849,43
"6",6,0,14,3,8,3,0,0.98,14
"7",7,32,41,10,54,9,0.6855,0.7534,73
