"","clusterID","协议xié_yì","合同ɡě_tóng","合约ɡě_yāo","契约jié_yāo","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,16,12,3,0,9,19,3,0.9348,0.8851,31
"2",2,1,25,4,1,4,16,11,0.6592,0.9732,31
"3",3,5,6,3,1,2,9,4,1.2351,0.9276,15
"4",4,31,22,23,13,30,36,23,1.3435,1.0824,89
"5",5,5,3,0,0,0,7,1,0.6616,0.3768,8
"6",6,15,23,28,3,14,18,37,1.2003,1.0083,69
"7",7,98,0,0,0,31,39,28,0,1.0887,98
"8",8,57,0,0,0,5,44,8,0,0.6889,57
"9",9,58,2,1,1,14,34,14,0.3063,1.0015,62
"10",10,40,0,0,0,10,19,11,0,1.0552,40
