"","clusterID","军人jūn_rén","士兵shì_bīnɡ","战士zhàn_shì","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,27,177,5,31,156,22,0.4944,0.7383,209
"2",2,136,94,61,55,144,92,1.0481,1.0271,291
