"","clusterID","报告bào_ɡào","报道bào_dǎo","ML","SG","TW","variant_entropy","lect_entropy","TotalFreq"
"1",1,2,69,27,44,0,0.1283,0.6642,71
"2",2,0,85,53,32,0,0,0.6623,85
"3",3,22,0,19,2,1,0,0.4851,22
"4",4,0,12,5,7,0,0,0.6792,12
"5",5,76,24,33,37,30,0.5511,1.0949,100
"6",6,20,40,25,31,4,0.6365,0.8865,60
"7",7,69,0,21,5,43,0,0.847,69
"8",8,81,0,28,21,32,0,1.0841,81
