"","clusterID","主题zhǔ_tí","议题yì_tí","话题huà_tí","课题kè_tí","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,1,26,2,14,21,6,16,0.8997,0.9927,43
"2",2,0,14,0,0,10,0,4,0,0.5983,14
"3",3,25,123,14,98,124,53,83,1.1044,1.0418,260
"4",4,13,3,33,31,14,10,56,1.151,0.8146,80
"5",5,100,2,1,0,39,43,21,0.1502,1.0566,103
