"","clusterID","看法kān_fǎ","立场lì_chánɡ","见解jiàn_jiě","观点ɡuān_diǎn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,13,3,3,3,14,3,5,1.126,0.8961,22
"2",2,87,16,5,41,58,25,66,1.0227,1.0275,149
"3",3,8,24,2,6,19,7,14,1.0627,1.0261,40
"4",4,46,186,2,12,135,71,40,0.7114,0.9833,246
"5",5,7,14,0,1,14,2,6,0.7925,0.86,22
"6",6,17,0,1,3,7,3,11,0.594,0.9829,21
