"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"exp_9"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"pbin_9"	"SumAbsDev"	"LargestDev"
"－－"	0	0	0	0	0	1	0	0	0	0.027	0.37	0.064	0.049	0.207	0.164	0.029	0.044	0.046	-0.012	-0.2	-0.029	-0.022	-0.101	0.785	-0.013	-0.02	-0.021	1.203	"6"
"﹐"	0	0	0	0	5	0	0	0	0	0.136	1.848	0.318	0.245	1.034	0.821	0.147	0.22	0.231	-0.06	-1.002	-0.143	-0.109	3.423	-0.39	-0.065	-0.098	-0.103	5.393	"5"
"."	0	0	0	0	0	0	0	2	3	0.136	1.848	0.318	0.245	1.034	0.821	0.147	0.22	0.231	-0.06	-1.002	-0.143	-0.109	-0.503	-0.39	-0.065	1.752	3.038	7.062	"9"
"……"	0	3	0	0	0	1	0	0	0	0.109	1.478	0.254	0.196	0.827	0.657	0.118	0.176	0.185	-0.048	0.836	-0.114	-0.087	-0.402	0.291	-0.052	-0.078	-0.082	1.99	"2"
"100"	0	1	0	0	0	0	0	0	0	0.027	0.37	0.064	0.049	0.207	0.164	0.029	0.044	0.046	-0.012	0.432	-0.029	-0.022	-0.101	-0.078	-0.013	-0.02	-0.021	0.728	"2"
"1000万"	0	0	0	0	0	0	1	0	0	0.027	0.37	0.064	0.049	0.207	0.164	0.029	0.044	0.046	-0.012	-0.2	-0.029	-0.022	-0.101	-0.078	1.531	-0.02	-0.021	2.014	"7"
"1200多"	0	0	0	0	0	1	0	0	0	0.027	0.37	0.064	0.049	0.207	0.164	0.029	0.044	0.046	-0.012	-0.2	-0.029	-0.022	-0.101	0.785	-0.013	-0.02	-0.021	1.203	"6"
"1957年"	0	1	0	0	0	0	0	0	0	0.027	0.37	0.064	0.049	0.207	0.164	0.029	0.044	0.046	-0.012	0.432	-0.029	-0.022	-0.101	-0.078	-0.013	-0.02	-0.021	0.728	"2"
"1993"	0	1	0	0	0	0	0	0	0	0.027	0.37	0.064	0.049	0.207	0.164	0.029	0.044	0.046	-0.012	0.432	-0.029	-0.022	-0.101	-0.078	-0.013	-0.02	-0.021	0.728	"2"
"1人"	0	0	1	0	0	0	0	0	0	0.027	0.37	0.064	0.049	0.207	0.164	0.029	0.044	0.046	-0.012	-0.2	1.197	-0.022	-0.101	-0.078	-0.013	-0.02	-0.021	1.664	"3"
