"","clusterID","原料yuán_liáo","成份chénɡ_bīn","成分chénɡ_bàn","材料cái_liáo","物料wù_liáo","原材料yuán_cái_liáo","用料yòng_liáo","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,5,13,55,5,0,0,0,22,29,27,0.533201840894149,0.337606837606838,78
"2",2,0,0,1,40,1,0,0,1,35,6,0.908163265306122,0.715419501133787,42
"3",3,6,19,20,35,0,1,6,20,33,34,0.272030651340996,0.349451710926146,87
"4",4,0,0,1,34,0,0,0,5,18,12,0.944489795918367,0.402448979591837,35
"5",5,0,0,0,19,0,0,0,7,11,1,1,0.473684210526316,19
"6",6,51,3,0,19,4,22,1,29,63,8,0.3472,0.4874,100
"7",7,31,4,13,85,1,1,4,22,73,44,0.434190776874903,0.401066197401791,139
