"","clusterID","寿命shòu_mìnɡ","年纪nián_jǐ","年龄nián_línɡ","年岁nián_suì","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,13,19,176,0,67,56,85,0.5332,1.0839,208
"2",2,39,80,168,5,63,87,142,1.0113,1.0422,292
