"","clusterID","官司ɡuān_cí","案件àn_jiàn","讼案sòng_àn","诉讼案sù_sòng_àn","控告kōnɡ_ɡào","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,14,88,3,9,0,30,51,33,0.6179,0.3532,114
"2",2,3,61,0,1,0,2,37,26,0.8831,0.485,65
"3",3,38,276,0,5,2,104,139,78,0.7536,0.3515,321
