"","clusterID","仪式yí_shì","典礼diǎn_lǐ","庆典qìng_diǎn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,6,32,0,23,3,12,0.734072022160665,0.472299168975069,38
"2",2,11,16,1,17,2,9,0.482142857142857,0.477040816326531,28
"3",3,25,3,0,7,2,19,0.808673469387755,0.528061224489796,28
"4",4,19,0,0,0,18,1,1,0.900277008310249,19
"5",5,68,32,8,49,39,20,0.489711934156379,0.370541838134431,108
"6",6,9,14,13,14,4,18,0.344135802469136,0.41358024691358,36
"7",7,50,8,3,16,26,19,0.691480784735286,0.347487234614351,61
"8",8,116,33,33,65,69,48,0.471984059896148,0.340840478203116,182
