"","clusterID","争端zhēnɡ_duān","冲突chōnɡ_tū","争执zhēnɡ_zhí","纠纷jiū_fēn","风波fēnɡ_bēi","矛盾máo_dùn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,1,143,0,0,0,0,33,95,16,0.0414,0.8562,144
"2",2,0,34,7,4,4,0,12,16,21,0.9406,1.0731,49
"3",3,34,88,19,63,50,53,101,115,91,1.6979,1.094,307
