"","clusterID","共和国ɡōnɡ_hé_ɡuó","联邦lián_bānɡ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,137,1,21,108,9,0.0429,0.6564,138
"2",2,19,0,0,15,4,0,0.5147,19
"3",3,0,50,26,10,14,0,1.0184,50
"4",4,6,16,2,17,3,0.586,0.6889,22
"5",5,67,142,77,95,37,0.6273,1.0328,209
"6",6,0,23,6,8,9,0,1.085,23
"7",7,0,39,19,10,10,0,1.0483,39
