"","clusterID","位置lì_zhì","地位de_lì","地点de_diǎn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,53,21,121,56,48,91,0.8902,1.059,195
"2",2,2,0,64,10,4,52,0.1358,0.6437,66
"3",3,8,136,6,37,66,47,0.3739,1.0701,150
"4",4,19,24,0,5,30,8,0.6864,0.8143,43
"5",5,28,1,0,2,12,15,0.15,0.8905,29
"6",6,1,16,0,4,11,2,0.2237,0.8739,17
