"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"SumAbsDev"	"LargestDev"
"修正案"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"倒退"	0	2	0	0	0	0	0.102	0.623	0.097	1.006	0.092	0.08	-0.046	1.013	-0.043	-0.607	-0.041	-0.035	1.785	"2"
"倾听"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"偏差"	0	2	0	1	0	0	0.154	0.934	0.146	1.509	0.137	0.12	-0.068	0.637	-0.065	-0.305	-0.061	-0.053	1.189	"2"
"偏袒"	0	0	1	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	1.312	-0.304	-0.02	-0.018	1.839	"3"
"停建"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"充分"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"先"	0	1	0	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	0.507	-0.022	-0.304	-0.02	-0.018	0.894	"2"
"党"	0	0	0	5	1	0	0.307	1.868	0.292	3.017	0.275	0.24	-0.137	-0.972	-0.13	0.95	0.611	-0.106	2.906	"2"
"党主席"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"党务"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"党团"	0	0	0	3	0	1	0.205	1.246	0.195	2.012	0.183	0.16	-0.091	-0.648	-0.087	0.499	-0.081	0.822	2.228	"6"
"党籍"	0	1	0	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	0.507	-0.022	-0.304	-0.02	-0.018	0.894	"2"
"党纲"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"入会案"	0	0	0	0	1	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	-0.304	1.339	-0.018	1.868	"5"
"全球化"	0	1	0	1	0	0	0.102	0.623	0.097	1.006	0.092	0.08	-0.046	0.279	-0.043	-0.127	-0.041	-0.035	0.571	"2"
"全裸"	0	1	0	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	0.507	-0.022	-0.304	-0.02	-0.018	0.894	"2"
"全貌"	0	0	1	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	1.312	-0.304	-0.02	-0.018	1.839	"3"
"八十四小时"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"八百万"	0	0	0	0	1	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	-0.304	1.339	-0.018	1.868	"5"
"公开"	0	0	0	4	1	0	0.256	1.557	0.244	2.515	0.229	0.2	-0.114	-0.81	-0.108	0.719	0.68	-0.089	2.52	"2"
