"Coll_Word"	"1"	"2"	"exp_1"	"exp_2"	"pbin_1"	"pbin_2"	"SumAbsDev"	"LargestDev"
""	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"、"	43	229	36.589	235.411	0.832	-0.832	1.664	"1_&_2"
"113889"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"1470万"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"156"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"16"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"190万"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"200亿"	1	0	0.135	0.865	0.871	-0.871	1.742	"1_&_2"
"21.60"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"23"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"2305"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"3.7"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"300万"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"30亿"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"33万"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"556"	1	0	0.135	0.865	0.871	-0.871	1.742	"1_&_2"
"6000亿"	1	0	0.135	0.865	0.871	-0.871	1.742	"1_&_2"
"6万"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"7.3"	1	0	0.135	0.865	0.871	-0.871	1.742	"1_&_2"
"7.65"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"891025"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"891113"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"891211"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"9000亿"	1	0	0.135	0.865	0.871	-0.871	1.742	"1_&_2"
"ASN"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"BOT"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"C4ISR"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"CT"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"DIY"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"DWDM"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"GPSLONASS"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"Hyper-Kamiokande"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"k"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"kurumba"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"o"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"SPA"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"X"	0	3	0.404	2.596	-0.188	0.188	0.376	"1_&_2"
"一万五千"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"一次性"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"一流"	0	3	0.404	2.596	-0.188	0.188	0.376	"1_&_2"
"一臂之力"	1	0	0.135	0.865	0.871	-0.871	1.742	"1_&_2"
"一般"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"丁友"	1	0	0.135	0.865	0.871	-0.871	1.742	"1_&_2"
"万国站"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"三万"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"三组屋"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"三脚架"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"上半年"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"上月"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"上网"	0	3	0.404	2.596	-0.188	0.188	0.376	"1_&_2"
"下水道"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"不堪"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"不足"	0	10	1.345	8.655	-0.627	0.627	1.254	"1_&_2"
"不需"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"不须"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"与此同时"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"专业部"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"专用"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"专门"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"世界级"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"业软硬"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"丢弃"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"严重"	2	3	0.673	4.327	0.863	-0.863	1.726	"1_&_2"
"个人电脑"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"个股"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"中小学"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"中心区"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"中正机场"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"串连"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"主干网"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"书苑"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"予以"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"争先"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"事先"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"二手"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"互联网"	1	1	0.269	1.731	0.6	-0.6	1.2	"1_&_2"
"交传"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"交换器"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"交通"	4	11	2.018	12.982	0.878	-0.878	1.756	"1_&_2"
"交通队"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"产"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"产业"	5	0	0.673	4.327	4.356	-4.356	8.712	"1_&_2"
"产品"	0	9	1.211	7.789	-0.565	0.565	1.13	"1_&_2"
"产品质"	0	3	0.404	2.596	-0.188	0.188	0.376	"1_&_2"
"享受到"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"亲水"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"人体"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"人力"	1	3	0.538	3.462	0.358	-0.358	0.716	"1_&_2"
"人员"	0	11	1.48	9.52	-0.69	0.69	1.38	"1_&_2"
"人手"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"从事"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"以便"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"以及"	4	15	2.556	16.444	0.608	-0.608	1.216	"1_&_2"
"仪器"	0	6	0.807	5.193	-0.376	0.376	0.752	"1_&_2"
"仪表"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"仪降"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"件"	0	4	0.538	3.462	-0.251	0.251	0.502	"1_&_2"
"企业"	0	8	1.076	6.924	-0.502	0.502	1.004	"1_&_2"
"伊境"	1	0	0.135	0.865	0.871	-0.871	1.742	"1_&_2"
"伊朗"	0	7	0.942	6.058	-0.439	0.439	0.878	"1_&_2"
"休憩"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"休闲"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"优先"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"优美"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"优良"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"优越"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"会场"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"会所"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"传动"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"传感"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"传给"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"传译"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"传输"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"伤亡者"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"伦巴第大区"	1	0	0.135	0.865	0.871	-0.871	1.742	"1_&_2"
"伺"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"佈局"	1	0	0.135	0.865	0.871	-0.871	1.742	"1_&_2"
"位数"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"低点"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"住宅"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"住房"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"体"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"体型"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"体温"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"体育"	2	9	1.48	9.52	0.35	-0.35	0.7	"1_&_2"
"体育场馆"	1	0	0.135	0.865	0.871	-0.871	1.742	"1_&_2"
"体育馆"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"作品"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"使用"	0	17	2.287	14.713	-1.067	1.067	2.134	"1_&_2"
"使用费"	0	1	0.135	0.865	-0.063	0.063	0.126	"1_&_2"
"例如"	0	2	0.269	1.731	-0.125	0.125	0.25	"1_&_2"
"供"	0	4	0.538	3.462	-0.251	0.251	0.502	"1_&_2"
