"","clusterID","协定xié_dìnɡ","协议xié_yì","公约ɡōnɡ_yāo","条约tiáo_yāo","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,5,96,0,0,43,46,12,0.1971,0.9748,101
"2",2,23,66,40,32,49,81,31,1.3106,1.0249,161
"3",3,18,55,0,9,20,40,22,0.8432,1.0473,82
"4",4,50,78,1,27,39,73,44,1.0472,1.0589,156
