"","clusterID","工作ɡōnɡ_zuō","职业zhí_yè","职务zhí_wù","行业hánɡ_yè","ML","TW","SG","variant_I","lect_I","TotalFreq"
"1",1,45,0,0,0,45,0,0,1,1,45
"2",2,161,4,2,3,167,3,0,0.8979,0.9653,170
"3",3,27,0,0,0,27,0,0,1,1,27
"4",4,12,1,0,56,61,1,7,0.6891,0.7921,69
"5",5,90,30,46,23,140,25,24,0.326,0.5823,189
