"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"SumAbsDev"	"LargestDev"
"ＡＷＳ"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"MichaelChugani"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"www.sistic.com.sg"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"一些"	0	2	2	0	1	1.349	0.594	1.889	0.608	0.56	-0.683	0.957	0.205	-0.282	0.349	2.476	"2"
"一会儿"	0	0	2	0	0	0.54	0.237	0.755	0.243	0.224	-0.273	-0.11	0.846	-0.113	-0.103	1.445	"3"
"一再"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"一概而论"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"一致"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"三日"	1	0	1	0	0	0.54	0.237	0.755	0.243	0.224	0.331	-0.11	0.213	-0.113	-0.103	0.87	"1"
"三角"	2	0	0	0	0	0.54	0.237	0.755	0.243	0.224	1.138	-0.11	-0.412	-0.113	-0.103	1.876	"1"
"上"	1	7	44	6	17	20.236	8.904	28.331	9.127	8.402	-8.785	-0.494	3.71	-0.75	2.467	16.206	"1"
"上庭"	0	0	0	1	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	-0.206	0.915	-0.052	1.365	"4"
"上网"	0	0	2	0	0	0.54	0.237	0.755	0.243	0.224	-0.273	-0.11	0.846	-0.113	-0.103	1.445	"3"
"下棋"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"不一"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"不久"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"不予"	0	1	0	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	0.925	-0.206	-0.056	-0.052	1.376	"2"
"不便"	0	0	0	0	1	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	-0.206	-0.056	0.951	1.405	"5"
"不同"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"不少"	0	0	0	2	0	0.54	0.237	0.755	0.243	0.224	-0.273	-0.11	-0.412	1.829	-0.103	2.727	"4"
"不时"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"不自禁"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"专栏"	0	0	2	0	2	1.079	0.475	1.511	0.487	0.448	-0.546	-0.22	0.313	-0.225	1.19	2.494	"5"
"世界"	30	0	1	2	0	8.904	3.918	12.466	4.016	3.697	13.725	-1.811	-5.476	-0.664	-1.703	23.379	"1"
"东亚日报"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"东南部"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"东莞"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"丝绸"	0	0	0	1	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	-0.206	0.915	-0.052	1.365	"4"
"个性"	0	1	0	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	0.925	-0.206	-0.056	-0.052	1.376	"2"
"中南部"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"中国日报"	0	0	0	1	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	-0.206	0.915	-0.052	1.365	"4"
"中文"	0	0	3	1	2	1.619	0.712	2.266	0.73	0.672	-0.819	-0.329	0.388	0.267	0.858	2.661	"5"
"中英文"	0	0	0	1	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	-0.206	0.915	-0.052	1.365	"4"
"主流"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"主编"	0	1	0	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	0.925	-0.206	-0.056	-0.052	1.376	"2"
"主要"	76	0	10	0	0	23.204	10.21	32.486	10.466	9.634	32.034	-4.72	-7.236	-4.847	-4.437	53.274	"1"
"主观性"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"之"	15	0	2	1	0	4.857	2.137	6.799	2.191	2.016	6.002	-0.988	-1.874	-0.471	-0.929	10.264	"1"
"乐趣"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"九九"	0	0	0	1	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	-0.206	0.915	-0.052	1.365	"4"
"九日"	0	0	0	1	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	-0.206	0.915	-0.052	1.365	"4"
"也许"	0	0	0	0	3	0.809	0.356	1.133	0.365	0.336	-0.41	-0.165	-0.618	-0.169	2.852	4.214	"5"
"也门"	1	0	0	0	0	0.27	0.119	0.378	0.122	0.112	0.569	-0.055	-0.206	-0.056	-0.052	0.938	"1"
"书刊"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"书籍"	0	1	0	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	0.925	-0.206	-0.056	-0.052	1.376	"2"
"买"	0	0	1	1	2	1.079	0.475	1.511	0.487	0.448	-0.546	-0.22	-0.289	0.393	1.19	2.638	"5"
"买来"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"互联网"	0	0	1	1	0	0.54	0.237	0.755	0.243	0.224	-0.273	-0.11	0.213	0.641	-0.103	1.34	"4"
"些"	1	0	1	1	0	0.809	0.356	1.133	0.365	0.336	0.214	-0.165	-0.168	0.492	-0.155	1.194	"4"
"亲"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"人民日报"	14	0	0	0	0	3.777	1.662	5.288	1.704	1.568	7.965	-0.768	-2.884	-0.789	-0.722	13.128	"1"
"仅只"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"今天"	11	0	11	0	0	5.936	2.612	8.31	2.677	2.464	1.747	-1.207	0.776	-1.24	-1.135	6.105	"1"
"今日"	40	0	0	0	0	10.793	4.749	15.11	4.868	4.481	22.757	-2.195	-8.241	-2.254	-2.064	37.511	"1"
"从"	0	3	9	0	5	4.587	2.018	6.422	2.069	1.904	-2.322	0.484	0.826	-0.958	1.463	6.053	"1"
"仔仔"	0	0	0	1	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	-0.206	0.915	-0.052	1.365	"4"
"以免"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"以北"	0	0	0	0	1	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	-0.206	-0.056	0.951	1.405	"5"
"份"	0	0	4	23	3	8.095	3.562	11.332	3.651	3.361	-4.097	-1.647	-2.499	15.107	-0.25	23.6	"4"
"众所周知"	0	1	0	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	0.925	-0.206	-0.056	-0.052	1.376	"2"
"优惠"	0	1	1	0	0	0.54	0.237	0.755	0.243	0.224	-0.273	0.651	0.213	-0.113	-0.103	1.353	"2"
"传单"	0	0	0	0	1	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	-0.206	-0.056	0.951	1.405	"5"
"传承"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"传播"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"伦敦"	0	3	0	1	0	1.079	0.475	1.511	0.487	0.448	-0.546	2.215	-0.824	0.393	-0.206	4.184	"2"
"伦敦市"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"体会到"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"体温计"	0	1	0	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	0.925	-0.206	-0.056	-0.052	1.376	"2"
"佔据"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"作为树"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"作出"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"作者"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"侯世恭"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
