"","clusterID","冲突chōnɡ_tū","战争zhàn_zhēnɡ","争端zhēnɡ_duān","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,1,110,0,13,79,19,0.9821,0.5495,111
"2",2,86,0,2,22,55,11,0.9556,0.4688,88
"3",3,110,172,19,66,129,106,0.4641,0.3558,301
