"","clusterID","公安ɡōnɡ_ān","员警yuán_jǐnɡ","警员jǐnɡ_yuán","警察jǐnɡ_chá","警方jǐnɡ_fānɡ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,7,8,14,29,277,128,58,149,0.6717,1.0316,335
"2",2,46,6,5,66,42,55,62,48,1.2974,1.0932,165
