"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"－－"	0	1	0	1	0.146	0.995	0.047	0.811	-0.066	0.126	-0.021	0.189	0.402	"4"
"－Complain"	0	0	0	1	0.073	0.498	0.024	0.406	-0.033	-0.299	-0.01	0.392	0.734	"4"
"、"	0	22	0	5	1.973	13.438	0.64	10.949	-0.89	3.156	-0.281	-1.872	6.199	"2"
"11.5"	0	0	0	1	0.073	0.498	0.024	0.406	-0.033	-0.299	-0.01	0.392	0.734	"4"
"111"	0	2	0	0	0.146	0.995	0.047	0.811	-0.066	0.606	-0.021	-0.452	1.145	"2"
"125"	0	2	0	0	0.146	0.995	0.047	0.811	-0.066	0.606	-0.021	-0.452	1.145	"2"
"12亿"	0	0	0	1	0.073	0.498	0.024	0.406	-0.033	-0.299	-0.01	0.392	0.734	"4"
"1500万"	1	0	0	0	0.073	0.498	0.024	0.406	1.136	-0.299	-0.01	-0.226	1.671	"1"
"1980年"	0	0	0	1	0.073	0.498	0.024	0.406	-0.033	-0.299	-0.01	0.392	0.734	"4"
"1999"	0	0	0	1	0.073	0.498	0.024	0.406	-0.033	-0.299	-0.01	0.392	0.734	"4"
"220"	0	1	0	0	0.073	0.498	0.024	0.406	-0.033	0.303	-0.01	-0.226	0.572	"2"
"27日电"	0	0	0	1	0.073	0.498	0.024	0.406	-0.033	-0.299	-0.01	0.392	0.734	"4"
"30多"	0	0	0	1	0.073	0.498	0.024	0.406	-0.033	-0.299	-0.01	0.392	0.734	"4"
"3点钟"	0	0	0	1	0.073	0.498	0.024	0.406	-0.033	-0.299	-0.01	0.392	0.734	"4"
"4.54"	0	1	0	0	0.073	0.498	0.024	0.406	-0.033	0.303	-0.01	-0.226	0.572	"2"
"450"	0	1	0	0	0.073	0.498	0.024	0.406	-0.033	0.303	-0.01	-0.226	0.572	"2"
"4号线"	0	1	0	0	0.073	0.498	0.024	0.406	-0.033	0.303	-0.01	-0.226	0.572	"2"
"507"	0	1	0	0	0.073	0.498	0.024	0.406	-0.033	0.303	-0.01	-0.226	0.572	"2"
"511"	0	2	0	0	0.146	0.995	0.047	0.811	-0.066	0.606	-0.021	-0.452	1.145	"2"
"512"	0	2	0	0	0.146	0.995	0.047	0.811	-0.066	0.606	-0.021	-0.452	1.145	"2"
"518"	0	1	0	0	0.073	0.498	0.024	0.406	-0.033	0.303	-0.01	-0.226	0.572	"2"
