"","clusterID","亲戚qīn_cù","家人ɡū_rén","家属ɡū_shǔ","亲人qīn_rén","亲属qīn_shǔ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,4,9,1,0,0,1,5,8,0.8305,0.876,14
"2",2,9,143,10,23,4,34,33,122,0.8494,0.8959,189
"3",3,0,11,21,0,1,8,6,19,0.7598,0.9713,33
"4",4,0,9,13,0,3,12,9,4,0.9623,1.0133,25
"5",5,1,4,67,7,12,42,26,23,0.8768,1.0624,91
"6",6,8,31,29,20,4,38,26,28,1.4109,1.0844,92
"7",7,0,7,6,1,0,5,7,2,0.8982,0.9923,14
"8",8,0,10,12,0,1,6,2,15,0.8379,0.8417,23
"9",9,0,0,17,1,1,7,0,12,0.4095,0.6581,19
