"","clusterID","股票ɡǔ_piāo","证券zhènɡ_quàn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,104,41,56,38,51,0.5955,1.0859,145
"2",2,136,84,78,55,87,0.6649,1.0811,220
"3",3,32,103,83,34,18,0.5476,0.915,135
