"","clusterID","变化biàn_huā","改变ɡǎi_biàn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,11,0,1,8,2,0,0.7595,11
"2",2,45,2,5,36,6,0.176,0.7054,47
"3",3,19,0,3,15,1,0,0.633,19
"4",4,38,6,14,13,17,0.3983,1.092,44
"5",5,25,118,50,37,56,0.4635,1.0843,143
"6",6,24,18,8,14,20,0.6829,1.0354,42
"7",7,113,81,37,98,59,0.6795,1.023,194
